Name,Tags,Published Date,Summary
Stars,Research,,"Differential rotation and meridional circulation in stellar interiors are often neglected in evolutionary models that treat stars as rigidly-rotating one dimensional objects. However, in reality they highly three dimensional with complex fluid motion that not only affect the current state of stars but also their past and future. I work on this using theoretical and computational fluid dynamics."
Planets,Research,,Exoplanetary climate physics is focused on using a variety of tools. I use shallow water models of planetary atmospheres to study variably irradiated synchronous and asynchronous planets.  I also collaborate on using high resolution phase resolved spectroscopy to probe ultra hot Jupiters for magnetic fields.
Asteroids,Research,,"In the past, I have studied the spin and shape evolution of rubble-pile asteroids using discrete and continuum methods for granular flows with focus on top-shaped asteroids like Bennu and Ryugu. Current collaborative work extends into developing a comprehensive asteroid evolution history package for population statistics."
Miscellaneous,Research,,"Some of my old work dealt with the theoretical design of mechanical logic gates like the OR gate, using compliant bistable arches and their macroscale prototyping as a proof of concept for eventual miniaturization. I have also worked on designing tests for LLM evaluation in the field of physics."
Chowdhury House music conference,Experience,"January 17, 2024",
Clampearl,Poem,"August 16, 2023",
Elephantrains,Poem,"September 26, 2023",
Eli Tziperman,Experience,"May 4, 2024",
FDSE 2022,Academics,"October 10, 2022",
Constitutive laws?,Science,"December 3, 2021",
"Shifting disciplines - the millennial's dilemma ",Academics,"June 6, 2021",
Ph.D. survival resources for non-Einsteins,Academics,"May 11, 2021",
Discrete Element Method for Planetary Science,Science,"April 17, 2021",
Granular Segregation in Nature,Science,"August 6, 2021",
Friends and flowers of Hall 11 in IITK,Experience,"February 28, 2021",
Internships/building a Resume: Undergraduate,Academics,"January 23, 2021",
Trekking in Bhutan,Experience,"January 21, 2021",
"Yeshu Satsang, Toronto",Experience,"November 9, 2024",
Atmospheric thermodynamics,Science,"November 12, 2024",
Communicator,Poem,"November 16, 2025",
A listener needs a listener too,Poem,"August 3, 2021",
CV,,,
